iter	RMSE
349	4057.832035
350	4055.90485
351	4035.237962
352	4031.011898
353	4028.071199
354	4018.579761
355	4010.994782
356	4001.12894
357	3998.790967
358	3993.020507
359	3987.38885
360	3983.601976
361	3975.919837
362	3963.923237
